ArraySize,Run,Kth,EmpiricalComparisons,ExpectedComparisons,RunningTime(us)
10000,1,First,12093,20000,935
10000,1,25%,9120,20000,1352
10000,1,Median,13697,20000,1245
10000,2,First,11817,20000,833
10000,2,25%,8788,20000,1182
10000,2,Median,14051,20000,1194
10000,3,First,11759,20000,819
10000,3,25%,9063,20000,1192
10000,3,Median,14373,20000,1172
10000,4,First,12417,20000,838
10000,4,25%,8375,20000,1144
10000,4,Median,13773,20000,1151
10000,5,First,12231,20000,931
10000,5,25%,9211,20000,1372
10000,5,Median,14024,20000,1751
10000,6,First,12045,20000,952
10000,6,25%,8798,20000,1324
10000,6,Median,14062,20000,1328
10000,7,First,11733,20000,929
10000,7,25%,8172,20000,1305
10000,7,Median,14551,20000,1347
10000,8,First,12187,20000,950
10000,8,25%,8480,20000,1329
10000,8,Median,13870,20000,1646
10000,9,First,11955,20000,939
10000,9,25%,8877,20000,1294
10000,9,Median,14068,20000,1313
10000,10,First,11845,20000,817
10000,10,25%,9024,20000,1176
10000,10,Median,13939,20000,1144
10000,11,First,11743,20000,817
10000,11,25%,9715,20000,1223
10000,11,Median,14825,20000,1179
10000,12,First,11561,20000,868
10000,12,25%,8082,20000,1486
10000,12,Median,13537,20000,1892
10000,13,First,12063,20000,817
10000,13,25%,9319,20000,1148
10000,13,Median,13088,20000,1137
10000,14,First,12399,20000,836
10000,14,25%,9377,20000,1172
10000,14,Median,13349,20000,1139
10000,15,First,12485,20000,843
10000,15,25%,9433,20000,2130
10000,15,Median,13864,20000,1504
10000,16,First,11843,20000,810
10000,16,25%,9941,20000,1171
10000,16,Median,14137,20000,1177
10000,17,First,12161,20000,814
10000,17,25%,8590,20000,1142
10000,17,Median,13687,20000,1140
10000,18,First,12243,20000,816
10000,18,25%,8906,20000,1155
10000,18,Median,14290,20000,1407
10000,19,First,12243,20000,863
10000,19,25%,8797,20000,1188
10000,19,Median,14088,20000,1164
10000,20,First,11841,20000,810
10000,20,25%,8817,20000,1222
10000,20,Median,13531,20000,1162
10000,21,First,12183,20000,818
10000,21,25%,8956,20000,1138
10000,21,Median,13715,20000,1133
10000,22,First,11785,20000,810
10000,22,25%,9220,20000,1191
10000,22,Median,13985,20000,1336
10000,23,First,12273,20000,999
10000,23,25%,8680,20000,1147
10000,23,Median,14364,20000,1183
10000,24,First,12087,20000,823
10000,24,25%,8922,20000,1160
10000,24,Median,13243,20000,1132
10000,25,First,12177,20000,822
10000,25,25%,9176,20000,1167
10000,25,Median,14022,20000,1251
10000,26,First,12121,20000,857
10000,26,25%,9671,20000,1238
10000,26,Median,14481,20000,1153
10000,27,First,12177,20000,815
10000,27,25%,9117,20000,1155
10000,27,Median,13859,20000,1123
10000,28,First,11911,20000,811
10000,28,25%,8887,20000,1161
10000,28,Median,14079,20000,1166
10000,29,First,11991,20000,808
10000,29,25%,8181,20000,1232
10000,29,Median,13878,20000,1312
10000,30,First,12143,20000,876
10000,30,25%,9531,20000,1195
10000,30,Median,14219,20000,1187
10000,31,First,12187,20000,869
10000,31,25%,9644,20000,1253
10000,31,Median,14106,20000,1153
10000,32,First,11931,20000,804
10000,32,25%,8908,20000,1193
10000,32,Median,14292,20000,1253
10000,33,First,11849,20000,870
10000,33,25%,9016,20000,1158
10000,33,Median,13456,20000,1152
10000,34,First,12205,20000,821
10000,34,25%,9089,20000,1171
10000,34,Median,13562,20000,1129
10000,35,First,11709,20000,806
10000,35,25%,9030,20000,1149
10000,35,Median,13556,20000,1138
10000,36,First,12051,20000,820
10000,36,25%,8344,20000,1142
10000,36,Median,13875,20000,1342
10000,37,First,11843,20000,845
10000,37,25%,9292,20000,1175
10000,37,Median,13695,20000,1146
10000,38,First,12013,20000,809
10000,38,25%,9026,20000,1150
10000,38,Median,14567,20000,1183
10000,39,First,11915,20000,819
10000,39,25%,8663,20000,1204
10000,39,Median,14352,20000,1170
10000,40,First,12573,20000,958
10000,40,25%,8432,20000,1248
10000,40,Median,14195,20000,1150
10000,41,First,12193,20000,829
10000,41,25%,9034,20000,1193
10000,41,Median,13649,20000,1141
10000,42,First,11929,20000,815
10000,42,25%,8426,20000,1169
10000,42,Median,13995,20000,1197
10000,43,First,11937,20000,830
10000,43,25%,8871,20000,1161
10000,43,Median,13775,20000,1184
10000,44,First,11905,20000,842
10000,44,25%,9059,20000,1157
10000,44,Median,13864,20000,1141
10000,45,First,11975,20000,838
10000,45,25%,8923,20000,1159
10000,45,Median,13191,20000,1136
10000,46,First,11829,20000,824
10000,46,25%,9759,20000,1177
