ArraySize,Run,Kth,EmpiricalComparisons,ExpectedComparisons,RunningTime(us)
10000,1,First,10001,33860,65
10000,1,25%,40721,33860,637
10000,1,Median,36977,33860,600
10000,2,First,32783,33860,230
10000,2,25%,56282,33860,756
10000,2,Median,19918,33860,194
10000,3,First,2,33860,16
10000,3,25%,41385,33860,699
10000,3,Median,36487,33860,397
10000,4,First,2,33860,8
10000,4,25%,68874,33860,1060
10000,4,Median,25718,33860,272
10000,5,First,12436,33860,95
10000,5,25%,24417,33860,278
10000,5,Median,31980,33860,380
10000,6,First,3,33860,16
10000,6,25%,48184,33860,718
10000,6,Median,30320,33860,264
10000,7,First,32448,33860,243
10000,7,25%,28275,33860,285
10000,7,Median,17428,33860,324
10000,8,First,2,33860,16
10000,8,25%,45882,33860,683
10000,8,Median,21582,33860,356
10000,9,First,10001,33860,74
10000,9,25%,37282,33860,789
10000,9,Median,39161,33860,407
10000,10,First,2,33860,16
10000,10,25%,25137,33860,455
10000,10,Median,38514,33860,527
10000,11,First,10001,33860,75
10000,11,25%,43029,33860,558
10000,11,Median,34534,33860,283
10000,12,First,10001,33860,77
10000,12,25%,46938,33860,868
10000,12,Median,41829,33860,671
10000,13,First,17129,33860,143
10000,13,25%,28502,33860,502
10000,13,Median,27551,33860,546
10000,14,First,2,33860,8
10000,14,25%,59955,33860,819
10000,14,Median,24244,33860,290
10000,15,First,10001,33860,80
10000,15,25%,31154,33860,452
10000,15,Median,34735,33860,495
10000,16,First,10000,33860,96
10000,16,25%,21146,33860,322
10000,16,Median,34681,33860,322
10000,17,First,3,33860,17
10000,17,25%,19880,33860,250
10000,17,Median,34076,33860,443
10000,18,First,2,33860,16
10000,18,25%,41483,33860,727
10000,18,Median,28946,33860,455
10000,19,First,10001,33860,77
10000,19,25%,37398,33860,646
10000,19,Median,33670,33860,453
10000,20,First,10002,33860,82
10000,20,25%,26147,33860,232
10000,20,Median,32298,33860,383
10000,21,First,2,33860,17
10000,21,25%,26692,33860,469
10000,21,Median,38443,33860,560
10000,22,First,2,33860,8
10000,22,25%,59264,33860,808
10000,22,Median,19348,33860,244
10000,23,First,2,33860,16
10000,23,25%,36295,33860,643
10000,23,Median,29480,33860,353
10000,24,First,2,33860,17
10000,24,25%,43751,33860,544
10000,24,Median,27866,33860,327
10000,25,First,19770,33860,147
10000,25,25%,48394,33860,761
10000,25,Median,28036,33860,455
10000,26,First,2,33860,16
10000,26,25%,38813,33860,768
10000,26,Median,27075,33860,382
10000,27,First,2,33860,8
10000,27,25%,49079,33860,671
10000,27,Median,28122,33860,487
10000,28,First,3,33860,16
10000,28,25%,27239,33860,509
10000,28,Median,29063,33860,282
10000,29,First,10002,33860,82
10000,29,25%,32091,33860,477
10000,29,Median,32908,33860,353
10000,30,First,2,33860,17
10000,30,25%,53776,33860,532
10000,30,Median,23540,33860,233
10000,31,First,18211,33860,129
10000,31,25%,31807,33860,743
10000,31,Median,32323,33860,438
10000,32,First,10001,33860,91
10000,32,25%,20364,33860,299
10000,32,Median,16132,33860,291
10000,33,First,10001,33860,85
10000,33,25%,24025,33860,588
10000,33,Median,24013,33860,245
10000,34,First,10001,33860,91
10000,34,25%,46932,33860,688
10000,34,Median,35804,33860,325
10000,35,First,23461,33860,175
10000,35,25%,46998,33860,522
10000,35,Median,41514,33860,329
10000,36,First,10000,33860,77
10000,36,25%,62125,33860,590
10000,36,Median,32621,33860,472
10000,37,First,2,33860,8
10000,37,25%,72345,33860,975
10000,37,Median,34429,33860,439
10000,38,First,2,33860,16
10000,38,25%,30074,33860,442
10000,38,Median,26794,33860,332
10000,39,First,10000,33860,85
10000,39,25%,33764,33860,859
10000,39,Median,40526,33860,336
10000,40,First,3,33860,17
10000,40,25%,32507,33860,615
10000,40,Median,32143,33860,304
10000,41,First,2,33860,8
10000,41,25%,56148,33860,986
10000,41,Median,25336,33860,574
10000,42,First,21278,33860,159
10000,42,25%,19212,33860,280
10000,42,Median,45142,33860,568
10000,43,First,2,33860,25
10000,43,25%,23833,33860,1424
10000,43,Median,24735,33860,286
10000,44,First,17112,33860,136
10000,44,25%,24853,33860,379
10000,44,Median,35988,33860,445
10000,45,First,10001,33860,85
10000,45,25%,43988,33860,701
10000,45,Median,35943,33860,341
10000,46,First,25920,33860,208
10000,46,25%,23463,33860,235
10000,46,Median,24900,33860,533
10000,47,First,10001,33860,96
10000,47,25%,25023,33860,247
10000,47,Median,28351,33860,215
